Gene	Transcripts
CDC14C	NM_152627.3
UTP6	NM_018428.3
EPHA7	NM_001288629.2
SERPINA1	NM_001002235.3
CAAP1	NM_024828.4
SEC24A	NM_021982.3
PTPN14	NM_005401.5
CLBA1	NM_174891.4
CCNI2	NM_001039780.4
FBXL5	NM_001193534.1
AP1S2	NM_003916.5
CRTC3	NM_022769.5
ETNK2	NM_018208.4
PA2G4	NM_006191.3
RNASE12	NM_001024822.3
RPA4	NM_013347.4
PRR36	NM_001190467.2
TRRAP	NM_003496.3
TPST1	NM_003596.4
STRADB	NM_018571.6
CUL5	NM_003478.6
RRP12	NM_015179.4
TUBGCP5	NM_052903.6
DSN1	NM_024918.4
HUS1	NM_004507.4
SPATS1	NM_145026.4
SLC12A2	NM_001046.3
RPS6KA5	NM_004755.4
ING3	NM_019071.3
MAGT1	NM_032121.5
GNAL	NM_182978.4
BDH2	NM_020139.4
SREK1	NM_001077199.3
RNF212	NM_194439.4
PEX11A	NM_003847.3
NDUFA12	NM_018838.5
RRS1	NM_015169.4
CCDC88C	NM_001080414.4
PID1	NM_017933.5
PANO1	NM_001293167.1
SPATA31E1	NM_178828.5
POMT2	NM_013382.5
RRP9	NM_004704.5
PARD3	NM_019619.4
LIPA	NM_000235.4
SLC25A19	NM_021734.4
TP53TG3D	NM_001243722.2
ATG10	NM_001131028.2
TBC1D3	NM_001123391.3
ITGA7	NM_002206.3
TNFRSF18	NM_004195.3
PRB4	NM_002723.6
STARD10	NM_006645.2
PNN	NM_002687.4
ANO4	NM_178826.4
KLB	NM_175737.4
MYBL1	NM_001080416.4
LONP1	NM_004793.4
NTS	NM_006183.5
PTGES3L	NM_001142653.1
HAMP	NM_021175.4
CCNL2	NM_030937.6
ANKRD30BL	NM_001358416.1
ATG12	NM_004707.4
LMF1	NM_022773.4
CLK3	NM_001130028.1
LY6D	NM_003695.3
C7orf66	NM_001024607.2
PPARGC1B	NM_133263.4
C20orf144	NM_080825.4
CYP1A2	NM_000761.5
WDR92	NM_138458.4
CCDC22	NM_014008.5
COL3A1	NM_000090.3
ZNF165	NM_003447.4
SLC25A11	NM_003562.5
STK32C	NM_173575.4
MFHAS1	NM_004225.3
IRF3	NM_001571.6
DCAF13	NM_015420.7
HTR1E	NM_000865.3
ITGAM	NM_000632.4
SPRY2	NM_001318536.1
LRTM1	NM_020678.4
SCAMP2	NM_005697.5
AQR	NM_014691.3
SEPTIN12	NM_144605.5
OR4F21	NM_001005504.1
TICAM2	NM_021649.7
HAPLN1	NM_001884.4
POU4F3	NM_002700.3
SULT1A1	NM_001055.3
KCNN2	NM_021614.4
SEC23A	NM_006364.4
DERL2	NM_016041.5
LYZL1	NM_032517.6
DMRTC1	NM_033053.2
EEA1	NM_003566.4
PNMA3	NM_013364.6
FOXC1	NM_001453.3
CCZ1B	NM_198097.3
VWA5B1	NM_001039500.3
SFT2D1	NM_145169.3
AJUBA	NM_001289097.2
WNT9A	NM_003395.4
BLM	NM_000057.4
KIR2DL4	NM_001080772.2
RNF122	NM_024787.3
WDR11	NM_018117.12
RHO	NM_000539.3
MBTD1	NM_017643.3
ANKRD63	NM_001190479.2
MAML1	NM_014757.5
SMARCA4	NM_003072.4
DEFB121	NM_001011878.3
ZNF599	NM_001007248.3
TMOD3	NM_014547.5
SMAD6	NM_005585.5
BCL10	NM_003921.5
GSTA3	NM_000847.5
BCL7A	NM_001024808.3
DDX25	NM_013264.5
MOGAT1	NM_058165.3
APP	NM_000484.4
C8orf44-SGK3	NM_001204173.2
IKZF4	NM_022465.4
TCAP	NM_003673.4
FST	NM_013409.3
SPIC	NM_152323.3
PAQR4	NM_152341.5
CCDC51	NM_024661.5
GNPDA2	NM_138335.3
NFE2L1	NM_003204.3
C21orf91	NM_017447.4
SPG21	NM_016630.7
BRF1	NM_001519.4
NECAB1	NM_022351.5
ATP10A	NM_024490.3
ARL5C	NM_001143968.1
TTI2	NM_025115.4
CADM4	NM_145296.2
KCNB2	NM_004770.3
BEST2	NM_017682.3
COG4	NM_001195139.2
RPL36A-HNRNPH2	NM_001199973.2
OMD	NM_005014.2
HEXIM2	NM_144608.2
FADS3	NM_021727.5
SRPRB	NM_021203.4
RAD54L2	NM_015106.4
AKT1	NM_005163.2
H2BS1	NM_017445.3
P3H3	NM_014262.5
ANKRD13D	NM_207354.3
SPIN1	NM_006717.3
OR4F29	NM_001005221.2
ATG13	NM_014741.4
TCEA3	NM_003196.3
MAGEE2	NM_138703.5
USP34	NM_014709.4
RNF212B	NM_001282322.3
UFM1	NM_016617.4
PRPF4B	NM_003913.5
ABCB9	NM_019624.3
HPCAL1	NM_002149.4
C17orf58	NM_181656.5
COX6A1	NM_004373.4
CCDC24	NM_152499.4
DCAF4L1	NM_001029955.4
UBE2J2	NM_058167.3
BOLA2	NM_001031827.2
ABHD6	NM_020676.6
PIM3	NM_001001852.4
BDNF	NM_170735.5
KHSRP	NM_001366299.1
ZSCAN31	NM_030899.4
PTGFRN	NM_020440.4
CCND1	NM_053056.3
TMEM187	NM_003492.3
HNRNPH2	NM_019597.5
MRPL28	NM_006428.5
CNOT2	NM_001199302.1
CCDC106	NM_013301.2
GPR149	NM_001038705.3
HK1	NM_000188.2
MSANTD2	NM_024631.4
SH3BP5L	NM_030645.3
GGPS1	NM_004837.4
LARP4	NM_052879.5
PCDHGB4	NM_003736.3
NUP133	NM_018230.3
KIZ	NM_018474.6
NRBP1	NM_013392.4
RNF5	NM_006913.4
SRF	NM_003131.4
FCAR	NM_002000.4
LRRC26	NM_001013653.2
C16orf95	NM_001195124.2
GALT	NM_000155.4
NDUFAF1	NM_016013.4
ANGPTL3	NM_014495.4
SLC12A4	NM_005072.5
UBR3	NM_172070.4
GRAPL	NM_001129778.3
COMMD2	NM_016094.4
CAND2	NM_001162499.2
CIAO3	NM_022493.3
SKP2	NM_005983.4
NOMO2	NM_001004060.1
DAZ4	NM_001005375.2
LHPP	NM_022126.4
TBCD	NM_005993.5
OR2A25	NM_001004488.1
POU3F1	NM_002699.4
SYNCRIP	NM_006372.5
TIMELESS	NM_003920.5
IPCEF1	NM_001130699.1
RETREG2	NM_024293.6
SLC7A9	NM_001126335.2
PIEZO2	NM_022068.3
ZNF275	NM_001080485.3
GFOD2	NM_030819.4
ZNF710	NM_198526.4
SLC25A18	NM_031481.3
SINHCAF	NM_021238.2
FOSL1	NM_005438.5
SLX1B	NM_024044.4
ANKRD37	NM_181726.4
E2F7	NM_203394.3
RBFA	NM_024805.3
ZNRF4	NM_181710.4
EIF4G3	NM_003760.4
TM4SF18	NM_138786.4
MRPS36	NM_033281.6
UBOX5	NM_014948.4
TDRD15	NM_001306137.1
DCUN1D1	NM_020640.4
CTAGE6	NM_178561.5
EBAG9	NM_004215.5
CELA2A	NM_033440.3
TIGD6	NM_030953.4
GCDH	NM_000159.4
TRPC7	NM_020389.2
ABTB1	NM_172027.3
BCR	NM_004327.4
GNG11	NM_004126.4
DPP10	NM_020868.6
TMEM229B	NM_182526.2
TRAF7	NM_032271.3
GRHL2	NM_024915.4
THEM5	NM_182578.4
BIRC6	NM_016252.3
AIRE	NM_000383.4
DHX36	NM_020865.3
ADCK2	NM_052853.4
TGM3	NM_003245.4
SWAP70	NM_015055.4
KRTAP16-1	NM_001146182.1
DNMT3B	NM_006892.4
MRPL3	NM_007208.4
PDZD2	NM_178140.4
ARRDC3	NM_020801.4
PDIK1L	NM_152835.5
SPEM1	NM_199339.3
PRELID2	NM_182960.4
SNRNP27	NM_006857.3
CENPI	NM_006733.3
CACNB3	NM_000725.4
NXF3	NM_022052.2
OR6X1	NM_001005188.1
TRMT112	NM_016404.3
ACSS1	NM_032501.4
F7	NM_000131.4
PCDHGA9	NM_018921.2
ITIH5	NM_030569.7
TLR5	NM_003268.6
ZNF100	NM_173531.4
C19orf84	NM_001193623.2
ITPKC	NM_025194.3
NUTF2	NM_001322038.2
PDCD2	NM_002598.4
CFAP54	NM_001306084.2
ENY2	NM_020189.6
REG3G	NM_198448.4
FANCG	NM_004629.1
ATP1A1	NM_001160233.1
REG3A	NM_002580.3
ARHGAP18	NM_033515.3
HELB	NM_001370285.1
SSR2	NM_003145.4
MCRIP2	NM_138418.4
TM7SF2	NM_003273.5
RAB19	NM_001008749.3
DPP4	NM_001935.4
PPWD1	NM_015342.4
TP63	NM_003722.5
RBMY1E	NM_001006118.2
LTBP1	NM_206943.3
PPP1R13L	NM_006663.4
CDK2AP1	NM_004642.4
EN1	NM_001426.4
FDXR	NM_004110.6
ALKAL2	NM_001002919.3
MFSD10	NM_001120.4
TRIM43B	NM_001164464.1
CUBN	NM_001081.4
DHRS7C	NM_001220493.2
NUSAP1	NM_016359.5
COA6	NM_001012985.2
GDAP1L1	NM_024034.5
PKDCC	NM_138370.3
DNAJC1	NM_022365.4
BMS1	NM_014753.4
KCNJ12	NM_021012.5
CYP2D7	NM_001348386.3
LGALS1	NM_002305.4
FAM47A	NM_203408.3
H2AC20	NM_003517.2
TIFA	NM_052864.3
CUL7	NM_014780.4
ZNF169	NM_194320.4
SPATA48	NM_001161834.3
SYT8	NM_001290332.2
DYNC1I1	NM_004411.4
BTBD17	NM_001080466.2
TAF1	NM_004606.4
MKRN2OS	NM_001195279.1
OR6J1	NM_001348233.1
FXYD4	NM_173160.3
USP32	NM_032582.4
CPNE4	NM_130808.2
ACBD5	NM_145698.5
SYNPO2L	NM_024875.5
TTLL9	NM_001008409.4
RNF170	NM_030954.4
NBDY	NM_001348129.2
CNTNAP3B	NM_001201380.2
PWWP2B	NM_138499.4
IGFL1	NM_198541.2
SLC10A1	NM_003049.4
XAGE5	NM_130775.2
DTWD2	NM_173666.4
DPEP1	NM_001128141.2
ABCA4	NM_000350.3
PRSS50	NM_013270.5
NSMCE2	NM_173685.4
USP18	NM_017414.4
ZNF429	NM_001001415.4
NLRP2	NM_017852.5
EIF1B	NM_005875.3
FAM160A1	NM_001109977.3
CHRNA3	NM_000743.5
POTEM	NM_001145442.1
SCT	NM_021920.4
TSACC	NM_144627.4
DNM2	NM_004945.3
SNX1	NM_003099.5
CKAP2	NM_001098525.2
SDC1	NM_001006946.1
CFAP92	NM_020741.3
SNAI2	NM_003068.5
OBP2B	NM_014581.3
PDE8A	NM_002605.3
HDAC3	NM_003883.4
MREG	NM_018000.3
THEMIS2	NM_004848.3
SPANXN1	NM_001009614.3
ITGA6	NM_000210.4
ZNF536	NM_014717.3
C1QTNF3	NM_030945.4
TSSK1B	NM_032028.4
CEP72	NM_018140.4
HYDIN	NM_001198542.1
NKX2-1	NM_003317.4
BMP10	NM_014482.3
PTPN9	NM_002833.4
ARL8A	NM_138795.4
GOLGA3	NM_005895.4
HUWE1	NM_031407.7
SUMO2	NM_006937.4
DPPA5	NM_001025290.3
ABCF2-H2BE1	NM_005692.4
CDC42EP3	NM_006449.5
HINT2	NM_032593.3
GPR179	NM_001004334.4
SYNGAP1	NM_006772.3
TGFB2	NM_003238.6
RPL10A	NM_007104.5
GNA11	NM_002067.5
SLC6A11	NM_014229.3
RPN2	NM_002951.5
TMEM106C	NM_024056.3
NEFH	NM_021076.4
KRTAP9-8	NM_031963.3
TMEM235	NM_001204211.1
FAM91A1	NM_144963.4
CDCA3	NM_031299.6
MAPK7	NM_139033.2
ISCA2	NM_194279.4
M6PR	NM_001207024.1
SNX2	NM_003100.4
ASB13	NM_024701.4
EIF4B	NM_001417.7
AMPH	NM_001635.4
AAR2	NM_015511.4
TIGD2	NM_145715.2
PIGX	NM_017861.4
BIRC3	NM_001165.5
NFKBIA	NM_020529.2
SMIM5	NM_001162995.2
THEGL	NM_001256475.2
HLA-DRB5	NM_002125.4
ATRNL1	NM_207303.4
RAB38	NM_022337.3
RTF2	NM_016407.4
PCDHB10	NM_018930.4
TMEM248	NM_017994.5
CEP63	NM_025180.4
MAGEC1	NM_005462.5
DDX5	NM_004396.5
FAM219B	NM_020447.5
PRICKLE1	NM_001144881.2
SPDYE18	NM_001351348.1
FOXE1	NM_004473.4
GBA	NM_000157.4
OR2A42	NM_001001802.2
CEP70	NM_024491.4
CEP295NL	NM_001243540.2
GRM7	NM_000844.4
TCF7L1	NM_031283.3
MCF2	NM_005369.5
SPR	NM_003124.5
AURKB	NM_004217.4
CGB7	NM_033142.1
MMP1	NM_002421.4
CHRFAM7A	NM_148911.1
STUB1	NM_005861.4
ZBTB22	NM_001145338.1
COPS9	NM_138336.1
UPF3B	NM_080632.2
ATP6V0A2	NM_012463.4
MESD	NM_015154.3
AHR	NM_001621.5
NUDT22	NM_032344.4
DPH6	NM_080650.4
KDM1B	NM_153042.4
NR1D1	NM_021724.5
FOXA3	NM_004497.3
XPR1	NM_004736.4
TSC22D2	NM_014779.4
SOCS2	NM_001270467.2
LRRC9	NM_001355272.2
BBS5	NM_152384.3
ERICH1	NM_207332.3
RGS14	NM_006480.5
PTGDR2	NM_004778.3
ZNF449	NM_152695.6
SMC6	NM_024624.5
SHISA8	NM_001207020.2
STAR	NM_000349.3
PRSS1	NM_002769.5
OCRL	NM_000276.4
SLC43A3	NM_017611.2
PRIM1	NM_000946.3
TRPM8	NM_024080.5
C14orf132	NM_001252507.3
ANXA1	NM_000700.3
HMGN5	NM_030763.3
RAB3C	NM_138453.4
PHTF2	NM_020432.5
TESK1	NM_006285.3
SPDYE2B	NM_001166339.1
VAMP7	NM_005638.6
RBMXL3	NM_001145346.1
CMYA5	NM_153610.5
BARX2	NM_003658.5
BMPR2	NM_001204.7
FGF3	NM_005247.4
MARS2	NM_138395.4
TARS3	NM_152334.3
MDM2	NM_002392.5
FBXL13	NM_145032.3
PRPF6	NM_012469.4
GNAI3	NM_006496.4
C19orf48	NM_032712.3
EXOC3L1	NM_178516.4
SFRP1	NM_003012.5
TDRP	NM_175075.4
SMG5	NM_015327.3
SERTAD2	NM_014755.3
POLL	NM_013274.3
DECR2	NM_020664.4
COX19	NM_001031617.3
ENAH	NM_018212.6
CFH	NM_000186.4
GPR176	NM_007223.3
SCPEP1	NM_021626.3
PDE3B	NM_000922.4
PIAS3	NM_006099.3
FCRL3	NM_052939.4
PSMD4	NM_002810.3
TBCCD1	NM_018138.5
SLC30A7	NM_133496.5
DEFB130B	NM_001195257.1
APCDD1L	NM_153360.3
NINJ1	NM_004148.4
STRN4	NM_001039877.2
TLE1	NM_005077.5
EHF	NM_012153.6
INTS9	NM_018250.4
PLD6	NM_178836.4
DENND2C	NM_198459.4
ACBD6	NM_032360.4
ALX3	NM_006492.3
TARS1	NM_152295.4
HILPDA	NM_013332.4
FAM177A1	NM_173607.4
ITGA4	NM_000885.6
PDCD10	NM_007217.4
EXD1	NM_152596.4
MIER3	NM_152622.4
FNBP1L	NM_017737.5
FRYL	NM_015030.2
C15orf40	NM_144597.3
FAM178B	NM_016490.4
SCAF1	NM_021228.3
CALB1	NM_004929.4
RNF20	NM_019592.7
ZBED8	NM_022090.5
LRFN3	NM_024509.2
PCCB	NM_000532.5
RSL24D1	NM_016304.3
HAT1	NM_003642.4
LCMT2	NM_014793.5
PLGRKT	NM_018465.4
TMEM51	NM_018022.3
PHF6	NM_032458.3
PLSCR1	NM_021105.3
YJEFN3	NM_198537.4
FAM47E	NM_001136570.3
SMIM14	NM_174921.3
ANGPTL8	NM_018687.7
OSCAR	NM_133169.4
XRCC6	NM_001469.5
FOXR1	NM_181721.3
MRS2	NM_001286264.1
GATA1	NM_002049.4
ORC3	NM_001197259.1
ACAT1	NM_000019.4
CCL18	NM_002988.4
MSMP	NM_001044264.3
RCN3	NM_020650.3
MAP3K19	NM_025052.4
GALNT15	NM_054110.5
GCN1	NM_006836.2
KRTAP24-1	NM_001085455.3
ZNF600	NM_198457.4
C2CD2L	NM_014807.5
UBTFL1	NM_001143975.1
IFIT3	NM_001549.6
DHRS4	NM_001282987.2
ARHGAP36	NM_144967.4
KDR	NM_002253.3
OR13A1	NM_001004297.3
RPL3L	NM_005061.3
DDX19A	NM_018332.5
NAP1L3	NM_004538.6
CCN4	NM_003882.4
HNRNPA3	NM_194247.3
GRIA3	NM_000828.4
IL1RAPL2	NM_017416.2
TGM5	NM_004245.4
RAB17	NM_022449.4
HELZ2	NM_001037335.2
TSPOAP1	NM_004758.4
ATP12A	NM_001676.6
SEC61A1	NM_013336.4
EFNA3	NM_004952.5
SMLR1	NM_001195597.1
SLC66A1	NM_017765.3
MAPK14	NM_001315.2
C11orf91	NM_001166692.1
CMC2	NM_020188.5
HSD3B1	NM_000862.3
TAS2R9	NM_023917.2
PAPLN	NM_173462.4
OR2D2	NM_003700.1
AFDN	NM_001207008.1
VSIG8	NM_001013661.1
PTRH1	NM_001002913.3
EDC3	NM_025083.5
OR5M10	NM_001004741.1
EBF4	NM_001110514.1
LRRC14	NM_014665.4
MRPL39	NM_017446.4
TOMM6	NM_001134493.1
CDNF	NM_001029954.3
CENPP	NM_001012267.3
DHX29	NM_019030.4
PGAM1	NM_002629.4
TNFRSF13B	NM_012452.3
MRPS31	NM_005830.4
CCZ1	NM_015622.6
RAB40A	NM_080879.3
ZCCHC17	NM_016505.3
CA9	NM_001216.3
TMEM54	NM_033504.4
PIGO	NM_032634.4
MAP3K9	NM_001284230.1
F2RL3	NM_003950.4
SIGLEC11	NM_052884.3
CLEC7A	NM_197954.3
CSNK1D	NM_139062.4
MACIR	NM_033211.4
OR2B11	NM_001004492.1
SLC15A3	NM_016582.3
ZNF586	NM_017652.4
BUD13	NM_032725.4
PER3	NM_016831.3
HAPLN4	NM_023002.3
ATF5	NM_001193646.1
CHRNG	NM_005199.5
FLNC	NM_001127487.2
EXOSC3	NM_016042.4
PPP1R1C	NM_001080545.2
KRT23	NM_001282433.2
CHMP2A	NM_014453.4
ZNF439	NM_001348718.1
COA5	NM_001008215.3
ARRDC4	NM_183376.3
GNB1L	NM_053004.3
PRDX5	NM_181651.3
SNRPA	NM_004596.5
GATAD1	NM_021167.5
GDE1	NM_016641.4
ORC2	NM_006190.5
KLHL13	NM_033495.3
PIP4K2C	NM_024779.5
NEMF	NM_004713.6
CHEK2	NM_001005735.2
EFEMP2	NM_016938.5
BBS12	NM_152618.3
PRMT1	NM_001536.5
MPHOSPH8	NM_017520.4
OLFM3	NM_001288821.1
CNPY1	NM_001103176.2
SLC30A3	NM_001318949.2
GPR35	NM_001195382.2
ADAMTS9	NM_001318781.2
FANCL	NM_018062.3
IL17A	NM_002190.3
MZB1	NM_016459.4
NBEAL2	NM_015175.3
ALCAM	NM_001627.4
U2AF2	NM_007279.2
GSTM5	NM_000851.4
ITPKA	NM_002220.3
SNRPN	NM_003097.5
VLDLR	NM_003383.5
PGM3	NM_015599.3
FNDC8	NM_017559.4
OR56B1	NM_001005180.3
NRSN2	NM_024958.3
RPL9	NM_000661.4
ENPP6	NM_153343.4
TRMT5	NM_020810.3
CXorf58	NM_152761.2
RHOXF1	NM_139282.3
NLRP6	NM_138329.2
SCN4B	NM_001142348.2
GNA12	NM_007353.3
FAM111B	NM_198947.4
OTOGL	NM_173591.3
DEPDC1	NM_017779.6
GZMK	NM_002104.3
MEGF6	NM_001409.4
SBK1	NM_001024401.3
ZMPSTE24	NM_005857.5
BRDT	NM_207189.3
CA12	NM_001218.5
LCE1E	NM_178353.2
BCHE	NM_000055.4
MYO1G	NM_033054.3
GP1BB	NM_000407.5
SORL1	NM_003105.6
PAPOLB	NM_020144.5
KIAA1210	NM_020721.1
IGSF9	NM_020789.4
ZIC1	NM_003412.4
MAK16	NM_032509.4
SSTR3	NM_001051.5
ZFAND3	NM_021943.3
PUS10	NM_144709.4
GLT8D1	NM_152932.2
CHDH	NM_018397.5
KCNIP4	NM_025221.6
PCDHB11	NM_018931.3
DYDC2	NM_032372.6
RARA	NM_000964.4
MANSC4	NM_001146221.2
TMIE	NM_147196.2
MAP4K4	NM_004834.5
KIF21A	NM_017641.4
FAM237A	NM_001102659.2
LRRTM1	NM_178839.5
SLC35B4	NM_032826.5
PTPN6	NM_002831.6
HAUS1	NM_138443.4
GALNT6	NM_007210.4
PSMD14	NM_005805.6
QSOX2	NM_181701.4
TMEM94	NM_014738.6
ZNF774	NM_001004309.3
U2SURP	NM_001080415.2
TGIF2LX	NM_138960.4
CEACAM5	NM_004363.6
NPY4R	NM_005972.6
PSMC3IP	NM_013290.6
ST7	NM_021908.3
CD34	NM_001773.3
STEAP1	NM_012449.3
OR51I2	NM_001004754.2
TAF6	NM_005641.4
CDC45	NM_003504.4
SCUBE3	NM_152753.4
ZNHIT3	NM_004773.4
ABRACL	NM_021243.3
HRK	NM_003806.4
C2orf50	NM_182500.4
ANXA7	NM_001156.5
KLF7	NM_003709.4
HDHD3	NM_031219.4
RBFOX3	NM_001082575.2
PHKA1	NM_001122670.1
KRTAP9-7	NM_001277332.1
BHMT2	NM_017614.5
ERCC1	NM_001983.4
NAIF1	NM_197956.4
ZNF304	NM_001290318.1
ZMAT3	NM_152240.3
CLEC18A	NM_182619.4
ZNF559-ZNF177	NM_001172650.3
CRYBA4	NM_001886.3
ZNFX1	NM_021035.3
AMN	NM_030943.3
SLC44A2	NM_001145056.2
ZC3H15	NM_018471.3
TICRR	NM_152259.4
PDE12	NM_177966.7
MFN2	NM_014874.4
ACADM	NM_000016.5
BCKDHA	NM_000709.4
CCDC102A	NM_033212.4
TTF2	NM_003594.4
TBCE	NM_003193.5
LEPROT	NM_017526.5
MED12L	NM_053002.5
RGPD2	NM_001078170.2
CD53	NM_000560.4
BANF2	NM_178477.4
FAM106A	NM_024974.2
PRIMPOL	NM_152683.4
CFAP161	NM_173528.4
NT5C	NM_001252377.1
CLDN19	NM_148960.3
TJP3	NM_001267560.2
PACC1	NM_018252.3
LPL	NM_000237.3
NTPCR	NM_032324.3
GSTZ1	NM_145870.3
TSSC4	NM_005706.4
FSTL5	NM_020116.5
DLGAP5	NM_014750.5
SNX6	NM_001366519.1
YEATS2	NM_018023.5
OR2M5	NM_001004690.1
YWHAG	NM_012479.4
FANCB	NM_152633.3
TXNDC2	NM_032243.6
CLEC2L	NM_001080511.4
BMT2	NM_152556.3
LRRC36	NM_018296.6
TGM4	NM_003241.4
SYTL4	NM_080737.3
AGPAT5	NM_018361.5
DNAJB8	NM_153330.5
TMEM201	NM_001010866.4
MAPK8	NM_001278547.1
TRIM32	NM_012210.3
NUDCD3	NM_015332.4
LRRC75A	NM_207387.4
LRP5L	NM_182492.2
RAX	NM_013435.3
ATP2B1	NM_001682.3
TUT7	NM_024617.4
CETP	NM_000078.3
LYG1	NM_174898.3
RNF183	NM_145051.4
ADK	NM_006721.4
HOXC13	NM_017410.3
ATAD3C	NM_001039211.3
ERCC6L2	NM_001010895.3
KRTAP5-1	NM_001005922.1
UHMK1	NM_175866.5
KY	NM_178554.6
PPCDC	NM_021823.5
ILVBL	NM_006844.5
COX7A1	NM_001864.4
RIF1	NM_001177663.2
TMEM200C	NM_001080209.2
IDH3G	NM_004135.4
AFF3	NM_002285.3
YBX3	NM_003651.5
MRPL57	NM_024026.5
GALNT11	NM_022087.4
MAGEC2	NM_016249.4
ZBED3	NM_032367.4
WBP1L	NM_017787.5
IFNA8	NM_002170.4
DTNB	NM_033147.3
CT47A11	NM_173571.2
KRCC1	NM_016618.3
TMEM223	NM_001080501.3
XKR4	NM_052898.2
ZNF567	NM_152603.5
HSPA6	NM_002155.5
H2BC6	NM_003523.2
CSH1	NM_001317.6
CGB3	NM_000737.3
NHP2	NM_017838.3
RAP1A	NM_002884.3
B4GALT1	NM_001497.3
PIP5K1C	NM_012398.3
MAS1L	NM_052967.2
CD58	NM_001779.3
PDS5B	NM_015032.4
CACNG5	NM_145811.3
LMNTD2	NM_173573.3
GSC2	NM_005315.1
TMTC2	NM_152588.3
METTL1	NM_005371.6
DUSP12	NM_007240.3
DOK5	NM_001294161.2
ZFAND6	NM_019006.4
POLR2L	NM_021128.5
UHRF1BP1	NM_017754.4
RPUSD4	NM_032795.3
PVR	NM_006505.5
PIGF	NM_173074.3
AMBN	NM_016519.6
PHC1	NM_004426.3
SLC22A17	NM_020372.3
ALPK1	NM_025144.4
SUPV3L1	NM_003171.5
CUZD1	NM_022034.6
MIER2	NM_017550.2
MTSS2	NM_138383.3
RPP25L	NM_148179.3
CFAP77	NM_207417.3
PAF1	NM_019088.4
LANCL3	NM_198511.3
FAM71F1	NM_032599.4
ZNF106	NM_022473.2
CUX2	NM_015267.4
IMPA2	NM_014214.3
WDR41	NM_018268.4
OR5B17	NM_001005489.2
SLC16A1	NM_003051.3
TSEN54	NM_207346.3
RCOR1	NM_015156.4
EPOP	NM_001130677.2
MAP3K5	NM_005923.4
TKT	NM_001064.4
SLC35G5	NM_054028.1
RPS8	NM_001012.2
GSTM4	NM_000850.5
KLHDC2	NM_014315.3
LCE2A	NM_178428.4
PEX1	NM_000466.3
CYB561D2	NM_007022.5
CDK2	NM_001290230.2
FRRS1	NM_001013660.3
SLFNL1	NM_144990.4
PTK7	NM_002821.5
SHISA4	NM_198149.2
MANSC1	NM_018050.4
UBP1	NM_014517.5
BROX	NM_144695.4
CUL9	NM_015089.4
ARHGDIA	NM_004309.6
TAF5	NM_006951.5
OR10A6	NM_001004461.1
PANK1	NM_138316.4
PPP2R2B	NM_181678.2
EMD	NM_000117.3
TRIM71	NM_001039111.3
ANKRD54	NM_138797.4
KCNG1	NM_002237.4
TMEM212	NM_001164436.2
XAB2	NM_020196.3
CD180	NM_005582.3
ALPI	NM_001631.5
ZBED5	NM_021211.4
RPL27	NM_000988.5
AKAP3	NM_006422.3
C6orf163	NM_001010868.3
TSNARE1	NM_145003.5
TMBIM4	NM_016056.3
DLEU7	NM_198989.3
MORN4	NM_178832.4
RXRB	NM_021976.5
G3BP2	NM_012297.4
MS4A4E	NM_001351235.2
OTOF	NM_001287489.2
SFXN4	NM_213649.2
KCNC4	NM_001039574.3
FSTL4	NM_015082.2
LAPTM4A	NM_014713.5
NAP1L1	NM_139207.5
KLK1	NM_002257.4
TMEM106A	NM_145041.4
FAM81A	NM_152450.3
PRR23D1	NM_001282479.1
TPP2	NM_001330588.2
SDC3	NM_014654.4
SLC12A8	NM_024628.5
PLXNA2	NM_025179.4
NDUFS5	NM_004552.3
PROC	NM_000312.3
SELENOP	NM_005410.4
FLRT2	NM_001346143.2
UGT2B15	NM_001076.4
ATP5PF	NM_001685.4
GTPBP4	NM_012341.3
FOCAD	NM_017794.4
PPP1R10	NM_002714.4
SBNO2	NM_014963.3
TLDC2	NM_080628.3
PTCD2	NM_024754.5
ZP3	NM_001110354.2
TRIM64	NM_001136486.1
LRRC37A	NM_014834.4
CFAP58	NM_001008723.2
SFTPC	NM_003018.4
RRN3	NM_018427.4
COL4A2-AS2	NM_001267044.1
KCNQ2	NM_172109.3
RPL41	NM_001035267.2
OR5AS1	NM_001001921.1
CEP126	NM_020802.4
ADHFE1	NM_144650.3
ETS1	NM_005238.4
KDM5B	NM_006618.5
OLFM4	NM_006418.5
HIBCH	NM_014362.4
SPRED2	NM_001128210.2
GJA4	NM_002060.3
CAV2	NM_001233.5
LMAN2	NM_006816.3
ECT2L	NM_001077706.2
TM2D3	NM_078474.3
CCDC47	NM_020198.3
COX17	NM_005694.1
C1QTNF6	NM_182486.2
IGBP1	NM_001370192.1
CREBRF	NM_153607.3
HYAL2	NM_003773.5
CD1A	NM_001763.3
HPS5	NM_181507.2
ARPC3	NM_001278556.2
HBP1	NM_012257.4
SLC25A28	NM_031212.4
TMED1	NM_006858.4
IL22	NM_020525.5
TNFRSF13C	NM_052945.3
H1-6	NM_005323.3
RAB34	NM_031934.6
POLQ	NM_199420.4
DCAF8	NM_015726.4
MCCC2	NM_001363147.1
TGFB1I1	NM_001042454.3
THEMIS	NM_001010923.2
PLCG2	NM_002661.5
TRIM36	NM_018700.4
SSX5	NM_021015.4
PLEKHG6	NM_018173.3
ENOX2	NM_182314.2
ISLR	NM_005545.4
